bestResult,current mAUC,current BCA,current ADAS13,Current VenICV,f_eval_count,data_path,seed,test_fold,batch_size,epochs,checkpoint,input_size,label,window,log_path,lr,l2,hidden_size
0.9370502978797159,0.8669328950111158,0.8117781654096204,4.2935508068354835,0.003921229954769935,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,1.154782e-03,1.333521e-07,604
0.8616093371206541,0.8863226944476403,0.8224352770058276,4.348857830279223,0.0033027821660386353,2,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,4.869675e-04,2.371374e-06,964
0.8616093371206541,0.8388523497115692,0.7513731380295005,3.9302011028994617,0.0037877433245675613,3,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,1.539927e-05,1.333521e-06,844
0.8616093371206541,0.8144826148633364,0.7525919785344124,5.079482010492852,0.009894652825122018,4,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,2.738420e-03,2.371374e-07,484
0.8616093371206541,0.8327275869890736,0.7591695438747833,4.695263253771306,0.0026322053709725564,5,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,2.053525e-04,7.498942e-06,244
0.8616093371206541,0.8350687461615902,0.7608235536035274,3.864771944378334,0.002933332348947034,6,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,3.651741e-05,4.216965e-06,724
0.8616093371206541,0.8402821160457226,0.763686497289315,3.9574884248097106,0.00391276627238601,7,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,8.659643e-05,7.498942e-07,124
0.8616093371206541,0.48810250155755047,0.5178116382746607,19.18498892327665,0.02599091552655905,8,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,6.493816e-03,4.216965e-07,364
0.8564191293607712,0.8435401090501895,0.7801626895444161,3.7968470091160658,0.0026596627481446943,9,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,3.243184e-05,1.326157e-06,1001
0.8067266004604714,0.8873177623718421,0.8319997958945508,4.392497572938933,0.002708103653078578,10,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,5.903156e-04,1.643942e-06,547
0.8067266004604714,0.8395059028441395,0.773395998819079,3.8649145174694692,0.0029546070447729216,11,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,2.393711e-05,2.056115e-06,983
0.8067266004604714,0.8649560711081867,0.7752603483637834,3.7763949469685296,0.002414102717478255,12,/home/zyguo/storage/LSTM_Exp/hord_LSTM/data,17,9,128,500,/home/zyguo/storage/LSTM_Exp/hord_LSTM/checkpoints,23,all,1,/home/zyguo/storage/LSTM_Exp/hord_LSTM/log,6.678726e-05,3.494584e-06,1022
